year,precip,temp,,
1988,0,18.28333333,,
1988,0,18.28333333,,
1988,0,16.37916667,,
1988,0,17.29916667,,
1988,0,17.47666667,,
1988,0,18.28333333,,
1988,0,16.90277778,,r
1988,0,18.52666667,,
1988,0,22.35138889,,
1988,0,22.61416667,,
1988,0,21.11944445,,
1988,0,19.26083334,,
1988,0,17.3825,,
1988,0,17.08222222,,
1988,0,17.32611112,,
1988,0,20.06777778,,
1988,0,21.11944445,,
1988,0,19.61138889,,
1988,0,19.76694445,,
1988,0,17.21388889,,
1988,0,19.07416667,,
1988,0,18.24583333,,
1988,0,17.24444445,,
1988,0,17.2425,,
1988,0,16.84805556,,
1988,0,17.72027778,,
1988,0,17.0275,,
1988,0,15.46944445,,
1988,0,15.52222222,,
1988,0,15.52222222,,
1988,0,16.21694445,,
1988,0,19.29833334,,
1988,0,15.785,,
1988,0,16.76916667,,
1988,0,17.44,,
1988,0,18.31222223,,
1988,0,18.575,,
1988,0,17.80555556,,
1988,0,15.37333334,,
1988,0,15.37333334,,
1988,0,15.94527778,,
1988,0,15.43888889,,
1988,0,15.70166667,,
1988,2.557,14.78361112,,
1988,0,15.29,,
1988,0,13.95527778,,
1988,0,13.66388889,,
1988,0,16.77111111,,
1988,0,14.12388889,,
1988,0,13.22361111,,
1988,0,11.525,,
1988,0,13.35472222,,
1988,0,13.53222222,,
1988,0,15.43888889,,
1988,1.576,13.85,,
1988,16.745,14.68055556,,
1988,0,14.85805556,,
1988,0,13.86111111,,
1988,0,13.48638889,,
1988,0,16.92916667,,
1988,0,20.03916667,,
1988,0,19.90555556,,
1988,0,16.84583333,,
1988,0,17.04555556,,
1988,0,15.785,,
1988,0,15.785,,
1988,0,17.41138889,,
1988,0,21.7,,
1988,0,18.09527778,,
1988,0,15.23305556,,
1988,0,14.44194444,,
1988,0,14.85833333,,
1988,0,15.55111111,,
1988,0,16.01111111,,
1988,0,15.68444445,,
1988,6.631,14.275,,
1988,2.163,14.275,,
1988,37.115,13.66361111,,
1988,2.824,13.37222222,,
1988,0,13.19472222,,
1988,25.016,15.01555556,,
1988,0.357,14.02944445,,
1988,3.98,12.07694444,,
1988,0,12.45166667,,
1988,12.657,12.89444444,,
1988,0,11.54444445,,
1988,0,10.46222223,,
1988,0,9.298611114,,
1988,0,11.80527778,,
1988,0,9.984444445,,
1988,0,10.67916667,,
1988,0,12.02027778,,
1989,0,11.97388889,,
1989,0,11.9175,,
1989,0,12.61222223,,
1989,0,15.45,,
1989,2.297,14.96111112,,
1989,0.501,11.62777778,,
1989,0,10.46222223,,
1989,0,9.673333336,,
1989,0,10.98777778,,
1989,0,13.92666666,,
1989,0,14.99611111,,
1989,0,10.85416667,,
1989,0,10.11361111,,
1989,0,10.59333333,,
1989,0,10.06777778,,
1989,0,11.7025,,
1989,0,12.65805556,,
1989,0,14.89583333,,
1989,0,15.81388889,,
1989,0,16.01111111,,
1989,0,16.21694445,,
1989,0,14.85833333,,
1989,0,13.76666667,,
1989,0,13.95527778,,
1989,0,12.82916667,,
1989,0,11.46361111,,
1989,0,11.7025,,
1989,0,12.58333333,,
1989,0,12.52888889,,
1989,0,14.61944444,,
1989,0,15.53333334,,
1989,0,13.85,,
1989,0,11.71111111,,
1989,0,13.19472222,,
1989,38.289,12.47111111,,
1989,0,10.51666667,,
1989,0,8.38888889,,
1989,0,9.313611111,,
1989,56.798,11.7,,
1989,1.283,13.40277778,,
1989,0,11.97388889,,
1989,0,12.79166667,,
1989,0,13.99277778,,
1989,0,13.08305556,,
1989,0,10.24722223,,
1989,0,10.85666667,,
1989,0,10.94194444,,
1989,0,12.25444444,,
1989,0,12.62916667,,
1989,0,13.58916667,,
1989,0,13.24055556,,
1989,0,15.6275,,
1989,0,17.11111112,,
1989,0,17.70083334,,
1989,0,15.70166667,,
1989,0,16.83055556,,
1989,0,17.48583334,,
1989,0,15.52222222,,
1989,0,16.03055556,,
1989,0.378,12.76083333,,
1989,7.369,14.75277778,,
1989,0.655,14.89555556,,
1989,0,13.00861111,,
1989,0,14.78361112,,
1989,0,15.52416667,,
1989,0,17.29722222,,
1989,0,17.69166667,,
1989,0,17.95444445,,
1989,0,15.46944445,,
1989,0,14.96972222,,
1989,0,16.50833333,,
1989,0,19.05277778,,
1989,0,18.32944445,,
1989,0,13.90944445,,
1989,0,15.29,,
1989,0,12.84611111,,
1989,0,14.38916667,,
1989,0,17.54055556,,
1989,0,20.75555556,,
1989,0,17.85166667,,
1989,0,17.14861112,,
1989,0,16.50833333,,
1989,0.743,14.83611111,,
1989,6.115,15.62694445,,
1989,0,16.37666667,,
1989,0,16,,
1989,0,16.93361112,,
1989,0,20.85861112,,
1989,0,19.63583334,,
1989,0,22.84611111,,
1989,0,22.66666667,,
1989,0,19.44722222,,
1989,0,21.81416667,,
1989,0,26.37916667,,
1989,0,23.09194445,,
1989,0,23.92666667,,
1989,0,23.92666667,,
1989,0,22.70833334,,
1989,0,19.925,,
1989,0,17.58861111,,
1989,0,16.00166667,,
1989,0,16.63305556,,
1989,0,17.72027778,,
1989,0,17.41111111,,
1989,0,16.73611112,,
1989,0,16.73611112,,
1989,0,16.63305556,,
1989,0,14.52083334,,
1989,0,16.16416667,,
1989,0,16.67055556,,
1989,0,18.70861112,,
1989,0,18.31416667,,
1989,0,16.90277778,,
1989,0.234,15.17611112,,
1989,2.309,14.61916667,,
1989,0,13.06111111,,
1989,0,15.12972222,,
1989,0,17.04555556,,
1989,0,18.22888889,,
1989,0,15.81361111,,
1989,0,17.29722222,,
1989,0,16.29138889,,
1989,0,15.81361111,,
1989,0,17.03638889,,
1989,0,17.58861111,,
1989,0,17.88888889,,
1989,0,18.94055556,,
1989,0,17.14833334,,
1989,6.373,21.3275,,
1989,0,19.76944445,,
1989,0,17.29722222,,
1989,0,15.34472222,,
1989,0,15.12972222,,
1989,0,16.90277778,,
1989,0,15.37333334,,
1989,0,15.55083334,,
1989,0,17.14833334,,
1989,0,17.80555556,,
1989,0,15.89888889,,
1989,0,17.44,,
1989,0,17.78611111,,
1989,0,18.04888889,,
1989,0,17.70083334,,
1989,0,22.15138889,,
1989,0,22.25444445,,
1989,0,18.21138889,,
1989,0,17.16555556,,
1989,0,16.29333333,,
1989,0,18.52666667,,
1989,0,18.91916667,,
1989,0,16.07638889,,
1989,0,17.56,,
1989,0,16.29583334,,
1989,0,16.25833334,,
1989,0,17.32583334,,
1989,0,17.85138889,,
1989,0,17.11972222,,
1989,0,17.29916667,,
1989,0,17.11972222,,
1989,0,17.29722222,,
1989,0,17.16555556,,
1989,0,16.94861111,,
1989,0,17.4025,,
1989,0,17.61944445,,
1989,0,18.44583334,,
1989,0,18.93861111,,
1989,0,18.46083333,,
1989,0,17.99194445,,
1989,0,19.44916667,,
1989,0,20.55833334,,
1989,0,20.37888889,,
1989,0,20.31944445,,
1989,0,19.95555556,,
1989,0,18.06638889,,
1989,0,18.28333333,,
1989,0,19,,
1989,0,18.44583334,,
1989,0,19.26083334,,
1989,0,17.5975,,
1989,0,17.4025,,
1989,0,19.44916667,,
1989,0,19.925,,
1989,0,20.00138889,,
1989,0,19.44722222,,
1989,0,20.77333334,,
1989,0,22.58333333,,
1989,0,22.58333333,,
1989,0,20.48166667,,
1989,0,20.26666667,,
1989,0,18.60555556,,
1989,0,19.65527778,,
1989,0,19.10111112,,
1989,0,18.88611112,,
1989,0,18.99805556,,
1989,0,19.10111112,,
1989,0,19.82388889,,
1989,0,19.73861111,,
1989,0,20.08722223,,
1989,0,19.15555556,,
1989,0,18.60555556,,
1989,0,20.87361111,,
1989,0,21.08861111,,
1989,0,19.87027778,,
1989,0,20.48166667,,
1989,0,19.15555556,,
1989,0,18.46277778,,
1989,0,19.10111112,,
1989,0,19.82388889,,
1989,0,19.82638889,,
1989,0,18.94055556,,
1989,0,18.93861111,,
1989,0,19.10111112,,
1989,0,19.36388889,,
1989,0,19.73861111,,
1989,0,19.47777778,,
1989,0,18.22888889,,
1989,0,18.32916667,,
1989,0,19.47777778,,
1989,0,19.3925,,
1989,0,19.87222223,,
1989,0,18.76111111,,
1989,0,19.1775,,
1989,0,18.72361111,,
1989,0,19.47777778,,
1989,0,19.47583334,,
1989,0,20.08722223,,
1989,0,18.54611111,,
1989,0,18.54611111,,
1989,0,18.15166667,,
1989,0,18.40833334,,
1989,0,17.77694445,,
1989,0,18.32916667,,
1989,0,19.3725,,
1989,0,17.5975,,
1989,0,18.72361111,,
1989,0,18.36666667,,
